2618425	Copenhagen	55.675941	12.565530	DK
2610613	Vejle	55.709270	9.535700	DK
2624652	Arhus	56.156738	10.210760	DK
2620425	Herning	56.139320	8.973780	DK
2622447	Esbjerg	55.466671	8.450000	DK
2621927	Frederikshavn	57.440731	10.536610	DK
2615876	Odense	55.395939	10.388310	DK
2621956	Fredensborg	55.975578	12.403140	DK
2621945	Frederiksberg	55.416180	11.569340	DK
2622383	Faaborg	55.095100	10.242260	DK
2624439	Augustenborg	54.952011	9.872160	DK
819827	Razvilka	55.591667	37.740833	RU
2841590	Sankt Ingbert	49.283329	7.116670	DE
933773	Gaborone	-24.654510	25.908590	BW
1862198	Honjo	36.233330	139.183334	JP
3165191	Tricarico	40.617619	16.146481	IT
3531793	Calkini	20.366671	-90.050003	MX
2896736	Idstein	50.233330	8.266670	DE
2856413	Osternienburg	51.799999	12.033330	DE
3105257	Villanueva de Gallego	41.769161	-0.823500	ES
3392242	Petrolina	-9.398610	-40.500832	BR
2661880	Aarberg	47.044392	7.275780	CH
702723	Lubny	50.016251	32.996941	UA
792523	Bogdanci	41.203060	22.575560	MK
5821086	Cheyenne	41.139980	-104.820251	US
1813171	Zhangjiajie	29.129440	110.478333	CN
2993572	Moissy-Cramayel	48.626049	2.601250	FR
1254444	Tindivanam	12.250000	79.650002	IN
1275391	Bodhan	18.666670	77.900002	IN
2210394	Tagiura	32.881672	13.350560	LY
1168021	Pindi Bhattian	31.897810	73.273018	PK
153709	Mwandiga	-4.830000	29.658060	TZ
4919820	Dyer	41.494202	-87.521713	US
7260966	Bryn Mawr-Skyway	47.494301	-122.240921	US
561626	Georgiyevskaya	44.111389	43.492222	RU
689003	Voronovytsya	49.109539	28.680780	UA
2792428	Lichtervelde	51.033329	3.150000	BE
3682232	Galeras	9.160950	-75.048111	CO
2940428	Cadolzburg	49.457298	10.853290	DE
3130032	Angles	41.956169	2.636030	ES
2986655	Plouhinec	48.016670	-4.483330	FR
3019930	Erdeven	47.642101	-3.157060	FR
2642505	Millom	54.210720	-3.272000	GB
3591028	Purulha	15.266670	-90.199997	GT
1265697	Kumaralingam	10.500000	77.333328	IN
3167595	Santa Margherita Ligure	44.334560	9.212040	IT
3179787	Cassina dePecchi	45.516369	9.359750	IT
783809	Zrnovci	41.854172	22.444441	MK
3150851	Jessheim	60.141510	11.175150	NO
1695284	Pangil	14.201020	120.907784	PH
1718367	Carlagan	14.975000	122.045563	PH
3083442	Tarnowo Podgorne	52.466419	16.663260	PL
666048	Stoina	44.683331	23.633329	RO
683367	Buhoci	46.566669	27.016670	RO
313960	Gordes	38.932781	28.289419	TR
4261585	Mooresville	39.612820	-86.374161	US
4542164	Marietta	33.937038	-97.116676	US
4902724	Morrison	41.809750	-89.965118	US
5125529	Lyncourt	43.081459	-76.125763	US
5358769	Huron	36.202728	-120.102921	US
